url,headline,label
https://www.foxnews.com/lifestyle/jack-carrs-eisenhower-d-days-memo-noble-undertaking,Jack Carr recalls Gen. Eisenhower's D-Day memo about 'great and noble undertaking',lifestyle
https://www.foxnews.com/entertainment/bruce-willis-demi-moore-avoided-doing-one-thing-while-co-parenting-daughter-says,"Bruce Willis, Demi Moore avoided doing one thing while co-parenting, daughter says",entertainment
https://www.foxnews.com/politics/blinken-meets-with-qatars-prime-minister.print,"Blinken meets Qatar PM, says Israeli actions are not 'retaliation,' but 'defending the lives of its people'",politics
https://www.foxnews.com/entertainment/emily-blunt-says-toes-curl-when-people-their-kids-want-act-want-say-dont-do-it,"Emily Blunt says her ‘toes curl’ when people tell her their kids want to act: 'I want to say, don’t do it!'",entertainment
https://www.foxnews.com/media/the-view-co-host-cnn-commentator-ana-navarro-host-night-2-democratic-national-convention,"'The View' co-host, CNN commentator Ana Navarro to host night 2 of Democratic National Convention",media
https://www.foxnews.com/politics/striking-boeing-workers-boo-after-democrat-sen-maria-cantwell-criticizes-trump.print,Striking Boeing workers boo after Democratic Sen. Maria Cantwell criticizes Trump,politics
https://www.foxnews.com/politics/white-house-grilled-harris-gun-ownership-mandatory-gun-buybacks.print,"White House grilled on Harris' gun ownership, mandatory gun buybacks",politics
https://www.foxnews.com/media/tom-cotton-turns-tables-cnns-dana-bash-guns-brings-up-harris-past-remarks-school-shootings,"Tom Cotton turns tables on CNN's Dana Bash on guns, brings up Harris' past remarks on school shootings",media
https://www.foxnews.com/politics/kamala-rides-tsunami-positive-press-skeptics-see-risky-choice,"Kamala rides tsunami of positive press, but skeptics see a risky choice",politics
https://www.foxnews.com/politics/harris-running-mate-faces-renewed-scrutiny-weird-socialism-comparison-resurfaces,Harris' running mate faces renewed scrutiny after his 'weird' socialism comparison resurfaces,politics
https://www.foxnews.com/world/israeli-american-reservist-killed-hezbollah-missile-israel-idf-says,"Israeli-American reservist killed by Hezbollah missile in Israel, IDF says",world
https://www.foxnews.com/us/david-mccullough-american-historian-presidential-medal-freedom-recipient-dies,"David McCullough, American historian and Presidential Medal of Freedom recipient, dies at 89",us
https://www.foxnews.com/politics/lorie-smith-web-designer-free-speech,Web designer who refuses to create sites for same-sex weddings says Colorado law violates free speech rights,politics
https://www.foxnews.com/entertainment/simon-cowell-reveals-son-changed-judging-style-empathy,Simon Cowell reveals how his son changed his judging style: ‘I have much more empathy’,entertainment
https://www.foxnews.com/lifestyle/walking-dead-syndrome-rare-conditions-baffle-doctors-researchers,Rare Disease Day: Walking Dead Syndrome and other rare conditions baffle doctors and researchers,lifestyle
https://www.foxnews.com/media/cnn-calls-out-harris-using-trumps-border-wall-campaign-ad-after-condemning-years,CNN calls out Harris for using Trump's border wall in campaign ad after condemning it for years,media
https://www.foxnews.com/entertainment/taylor-swift-steals-nyc-spotlight-dinner-blake-lively-sophie-turner-brittany-mahomes,"Taylor Swift steals NYC spotlight during dinner with Blake Lively, Sophie Turner and Brittany Mahomes",entertainment
https://www.foxnews.com/health/ozempic-happy-drug-study-suggests-weight-loss-medications-reduce-depression-anxiety,"Ozempic, the happy drug? Study suggests weight-loss medications could reduce depression, anxiety",health
