url,headline,label
https://www.foxnews.com/us/brown-university-reports-active-shooter-campus,"At least 2 dead, 8 in critical condition after mass shooting at Brown University",fox
https://www.foxnews.com/us/man-uncovers-missing-fathers-bones-buried-beneath-family-home-unleashing-thousand-other-secrets,"Man uncovers missing father’s bones buried beneath family home, unleashing ‘a thousand' other secrets",fox
https://www.foxnews.com/us/one-person-killed-u-haul-truck-explodes-idaho-retail-shopping-center-parking-lot,One person killed after U-Haul truck explodes in Idaho retail shopping center parking lot,fox
https://www.foxnews.com/us/wounded-national-guardsman-making-extraordinary-progress-can-breathe-his-own-doctor,"Wounded National Guardsman is making 'extraordinary progress,' can breathe on his own: doctor",fox
https://www.foxnews.com/us/illegal-immigrant-bites-ice-officer-gross-attack-while-resisting-arrest-dhs,Illegal immigrant bites ICE officer in 'gross attack' while resisting arrest: DHS,fox
https://www.foxnews.com/us/brian-walshe-declines-testify-murder-trial-hes-accused-destroying-dads-will-before-murder-case,Brian Walshe jury deliberates as relative paints him as violent villain,fox
https://www.foxnews.com/us/luigi-mangione-raised-red-flags-mcdonalds-confrontation-police-body-language-expert-says,"Luigi Mangione raised ‘red flags’ in McDonald’s confrontation with police, body language expert says",fox
https://www.foxnews.com/us/luigi-mangione-apologizes-looking-suspicious-newly-released-body-camera-arrest-footage,Luigi Mangione apologizes for looking 'suspicious' in newly released body camera arrest footage,fox
https://www.foxnews.com/us/luigi-mangione-judge-weighs-potentially-fatal-evidence-fight-over-search-suspects-backpack-attorney,Luigi Mangione judge weighs ‘potentially fatal’ evidence in fight over search of suspect’s backpack: attorney,fox
https://www.foxnews.com/us/macys-stabbing-suspect-history-mental-illness-released-psych-ward-day-attack,"Macy's stabbing suspect has history of mental illness, was released from psych ward day of attack",fox
https://www.foxnews.com/us/georgia-woman-suffers-severe-burns-someone-corrosive-chemical-her-during-evening-walk,Georgia woman hospitalized after attacker hurls corrosive chemical during evening walk,fox
https://www.foxnews.com/us/illegal-immigrant-caught-released-biden-administration-now-charged-washington-vehicular-homicide,Illegal immigrant caught and released by Biden administration now charged in Washington vehicular homicide,fox
https://www.foxnews.com/us/airline-passenger-attempted-open-plane-door-mid-air-authorities-say,"Airline passenger attempted to open plane door in mid-air, authorities say",fox
https://www.foxnews.com/us/royal-caribbean-sued-over-cruise-passengers-death-ship-rules-prove-fast-loose-expert,Royal Caribbean sued over cruise passenger’s death as ship rules prove ‘fast and loose’: expert,fox
https://www.foxnews.com/us/california-home-explosion-caught-doorbell-camera,California home explosion caught on doorbell camera,fox
https://www.foxnews.com/us/viral-footage-shows-doordash-driver-allegedly-pepper-spraying-customers-food-order-during-delivery,Viral footage shows DoorDash driver allegedly pepper-spraying customer's food order during delivery,fox
https://www.foxnews.com/us/police-warned-luigi-mangione-hed-face-more-trouble-using-fake-name-bodycam-video,Police warned Luigi Mangione he'd face more trouble for using fake name: bodycam video,fox
https://www.foxnews.com/us/kentucky-child-killer-walks-free-good-behavior-gets-arrested-again-days,"Kentucky child killer walks free on 'good behavior,' gets arrested again within days",fox
https://www.foxnews.com/us/alleged-gang-hitman-captured-after-years-long-manhunt-3-separate-murders-philadelphia,Alleged gang hit man captured after yearslong manhunt for 3 separate murders in Philadelphia: 'The very worst',fox
https://www.foxnews.com/us/ex-kentucky-sheriff-admits-shooting-judge-claims-he-had-no-control-over-actions-report,Ex-Kentucky sheriff admits to shooting judge but claims he 'had no control' over actions: report,fox
https://www.foxnews.com/us/human-skull-other-remains-found-bushes-brooklyns-coney-island-investigators-work-unravel-mystery,"Human skull, other remains found in bushes by Brooklyn's Coney Island as investigators work to unravel mystery",fox
https://www.foxnews.com/politics/top-automaker-unleashes-limited-edition-corvettes-inspired-americas-founding,Top automaker unleashes 250 limited-edition Corvettes inspired by America's founding,fox
https://www.foxnews.com/us/colorado-repeat-offender-freed-from-jail-less-than-two-weeks-before-allegedly-killing-mother-three-report,Colorado repeat offender freed from jail less than two weeks before allegedly killing mother of three: report,fox
https://www.foxnews.com/us/retired-elementary-teacher-who-worked-santa-arrested-child-abuse-material-charges,Retired elementary teacher who worked as Santa arrested on child abuse material charges,fox
https://www.foxnews.com/us/arkansas-mom-found-shot-death-two-children-wrote-cryptic-facebook-post-months-before-killings,Arkansas mom found shot to death with two children wrote cryptic Facebook post months before killings,fox
https://www.foxnews.com/us/florida-man-allegedly-crashes-stolen-bmw-gives-bizarre-explanation-deputies-teleported,"Florida man allegedly crashes stolen BMW, gives bizarre explanation to deputies: 'I teleported'",fox
https://www.foxnews.com/us/experienced-hiker-rescued-after-getting-trapped-quicksand-utahs-arches-national-park,Experienced hiker rescued after getting trapped in quicksand at Utah's Arches National Park,fox
https://www.foxnews.com/us/fugitive-repeat-offender-keeps-walking-free-courts-let-him-loose-hurt-people-experts-warn,"Fugitive repeat offender keeps walking free as courts let him loose to hurt people, experts warn",fox
https://www.foxnews.com/world/europe-literally-being-flooded-cocaine-narco-subs-evade-detection-crossing-atlantic,Europe 'literally being flooded with cocaine' as narco-subs evade detection crossing Atlantic,fox
https://www.foxnews.com/us/new-cockpit-audio-reveals-chaos-off-duty-alaska-airlines-pilot-tried-shut-engines-off-mid-flight,New cockpit audio reveals chaos as off-duty Alaska Airlines pilot tried to shut engines off mid-flight,fox
https://www.foxnews.com/us/plane-crash-lands-top-toyota-florida-freeway-following-engine-trouble,Plane crash-lands on top of Toyota on Florida freeway following engine trouble,fox
https://www.foxnews.com/politics/mamdanis-new-safety-advisor-confessed-serious-pill-addiction-turned-ex-nba-star-help,"Mamdani's new safety advisor confessed serious pill addiction, turned to ex-NBA star for help",fox
https://www.foxnews.com/us/arkansas-woman-children-found-dead-mansion-home-day-after-final-divorce-hearing-estranged-husband,Arkansas woman and children found dead at mansion home day after final divorce hearing with estranged husband,fox
https://www.foxnews.com/us/barefoot-father-son-airlifted-from-everglades-mudhole-after-atv-runs-out-gas-alligators-hungry,Barefoot father and son airlifted from Everglades mudhole after ATV runs out of gas: ‘Alligators are hungry’,fox
https://www.foxnews.com/us/texas-am-student-brianna-aguilera-fall-death-sparks-police-response-familys-explosive-claims-report,Texas A&M student Brianna Aguilera’s fall death sparks police response to family’s explosive claims: report,fox
https://www.foxnews.com/us/louisiana-father-heart-gold-dies-rifle-accidentally-discharges-during-hunting-trip,Louisiana father with ‘heart of gold’ dies after rifle accidentally discharges during hunting trip,fox
https://www.foxnews.com/us/florida-mom-says-teens-lured-14-year-old-daughter-into-woods-before-shooting-setting-her-fire-report,"Florida mom says teens ‘lured’ 14-year-old daughter into woods before shooting, setting her on fire: report",fox
https://www.foxnews.com/us/man-with-12-arrests-this-year-busted-again-after-allegedly-attacking-doctor-hospital-elevator-report,Man with 12 arrests this year busted again after allegedly attacking doctor in hospital elevator: report,fox
https://www.foxnews.com/politics/florida-designates-muslim-brotherhood-cair-foreign-terrorist-organizations-desantis-says,"Florida designates Muslim Brotherhood and CAIR as foreign terrorist organizations, DeSantis says",fox
https://www.foxnews.com/us/luigi-mangione-pumps-fist-court-police-body-cam-allegedly-reveals-loaded-magazine-found-inside-wet-underwear,Luigi Mangione pumps fist in court as body cam allegedly reveals loaded magazine found inside wet underwear,fox
https://www.foxnews.com/us/repeat-offender-accused-stabbing-parents-death-family-deli-while-free-bond-report,Repeat offender accused of stabbing parents to death in family deli while free on bond: report,fox
https://www.foxnews.com/politics/pressure-mounts-on-mamdani-to-continue-the-fight-on-illicit-chinese-vapes-flooding-nyc,Pressure mounts on Mamdani to 'continue the fight' on illicit Chinese vapes flooding NYC,fox
https://www.foxnews.com/us/crime-rings-hackers-join-forces-hijack-trucks-nationwide-fueling-major-holiday-shipping-security-fears,"Crime rings, hackers join forces to hijack trucks nationwide, fueling major holiday shipping security fears",fox
https://www.foxnews.com/world/police-recover-19k-faberge-egg-swallowed-new-zealand-man,Police wait six days for suspected thief to naturally pass stolen $19K Fabergé pendant,fox
https://www.foxnews.com/us/pearl-harbor-remembrance-ceremony-marks-84-years-since-attack,Pearl Harbor remembrance ceremony marks 84 years since attack,fox
https://www.foxnews.com/us/schemes-stacked-upon-schemes-1b-human-services-fraud-fuels-scrutiny-of-minnesotas-somali-community,‘Schemes stacked upon schemes’: $1B public benefits fraud fuels scrutiny of Minnesota’s Somali community,fox
https://www.foxnews.com/us/florida-teens-custody-after-14-year-old-girl-found-shot-death-burnt-sheriff,"Florida teens in custody after 14-year-old girl found shot to death, burnt: sheriff",fox
https://www.foxnews.com/us/disgraced-teacher-accused-using-google-docs-groom-underage-student-before-alleged-sex-crimes,Disgraced teacher accused of using Google Docs to groom underage student before alleged sex crimes,fox
https://www.foxnews.com/us/louisiana-manhunt-continues-dangerous-inmate-charged-attempted-murder-remains-run,Louisiana manhunt continues as dangerous inmate charged with attempted murder remains on the run,fox
https://www.foxnews.com/us/mass-killings-fall-lowest-level-nearly-two-decades-national-database-shows,"Mass killings fall to lowest level in nearly two decades, national database shows",fox
